region,block,slot,observation,bank,cycles
0,6,1,23,7,12307
0,6,1,24,8,12303
0,6,1,25,9,12310
0,6,1,26,10,12335
0,6,1,27,11,12266
0,6,1,28,12,12327
0,6,1,29,13,12340
0,6,1,30,14,12293
0,6,1,31,15,12398
0,6,2,0,0,12316
0,6,2,1,1,12280
0,6,2,2,2,12362
0,6,2,3,3,12282
0,6,2,4,4,12300
0,6,2,5,5,12354
0,6,2,6,6,12288
0,6,2,7,7,12272
0,6,2,8,8,12315
0,6,2,9,9,12347
0,6,2,10,10,12357
0,6,2,11,11,12370
0,6,2,12,12,12348
0,6,2,13,13,12263
0,6,2,14,14,12325
0,6,2,15,15,12370
0,6,2,16,0,12432
0,6,2,17,1,12366
0,6,2,18,2,12346
0,6,2,19,3,12391
0,6,2,20,4,12423
0,6,2,21,5,12262
0,6,2,22,6,12249
0,6,2,23,7,12337
0,6,2,24,8,12310
0,6,2,25,9,12321
0,6,2,26,10,12333
0,6,2,27,11,12284
0,6,2,28,12,12357
0,6,2,29,13,12291
0,6,2,30,14,12354
0,6,2,31,15,12352
0,6,3,0,0,12342
0,6,3,1,1,12326
0,6,3,2,2,12410
0,6,3,3,3,12517
0,6,3,4,4,12339
0,6,3,5,5,12309
0,6,3,6,6,12365
0,6,3,7,7,12332
0,6,3,8,8,12540
0,6,3,9,9,12365
0,6,3,10,10,12314
0,6,3,11,11,12494
0,6,3,12,12,12426
0,6,3,13,13,12348
0,6,3,14,14,12319
0,6,3,15,15,12371
0,6,3,16,0,12357
0,6,3,17,1,12402
0,6,3,18,2,12380
0,6,3,19,3,12401
0,6,3,20,4,12404
0,6,3,21,5,12272
0,6,3,22,6,12364
0,6,3,23,7,12390
0,6,3,24,8,12395
0,6,3,25,9,12410
0,6,3,26,10,12761
0,6,3,27,11,12340
0,6,3,28,12,12374
0,6,3,29,13,12410
0,6,3,30,14,12426
0,6,3,31,15,12373
0,7,0,0,0,12423
0,7,0,1,1,12397
0,7,0,2,2,12369
0,7,0,3,3,12308
0,7,0,4,4,12344
0,7,0,5,5,12297
0,7,0,6,6,12409
0,7,0,7,7,12285
0,7,0,8,8,12302
0,7,0,9,9,12392
0,7,0,10,10,12351
0,7,0,11,11,12325
0,7,0,12,12,12321
0,7,0,13,13,12336
0,7,0,14,14,12296
0,7,0,15,15,12323
0,7,0,16,0,12353
0,7,0,17,1,12274
0,7,0,18,2,12294
0,7,0,19,3,12256
0,7,0,20,4,12311
0,7,0,21,5,12420
0,7,0,22,6,12378
