phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
input_crt_pack,0,0,2,v5,5,340,340,85,85,1,21,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,6,88,88,22,22,1,22,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,7,220,220,55,55,1,23,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,0,320,320,80,80,2,16,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,1,68,68,17,17,2,17,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,2,200,200,50,50,2,18,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,3,332,332,83,83,2,19,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,4,80,80,20,20,2,20,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,5,212,212,53,53,2,21,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v6,6,344,344,86,86,2,22,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
