region,variant,block,slot,cycles
2,1,11,5,1625
2,2,11,6,1602
2,3,11,7,1582
2,0,12,0,1559
2,1,12,1,1570
2,2,12,2,1586
2,3,12,3,1616
2,3,12,4,1572
2,2,12,5,1646
2,1,12,6,1589
2,0,12,7,1601
2,3,13,0,1565
2,2,13,1,1579
2,1,13,2,1608
2,0,13,3,1591
2,0,13,4,1605
2,1,13,5,1610
2,2,13,6,1609
2,3,13,7,1614
2,0,14,0,1611
2,1,14,1,1626
2,2,14,2,1617
2,3,14,3,1585
2,3,14,4,1613
2,2,14,5,1650
2,1,14,6,1639
2,0,14,7,1608
2,3,15,0,1597
2,2,15,1,1636
2,1,15,2,1610
2,0,15,3,1601
2,0,15,4,1606
2,1,15,5,1623
2,2,15,6,1623
2,3,15,7,1586
2,0,16,0,1580
2,1,16,1,1603
2,2,16,2,1592
2,3,16,3,1585
2,3,16,4,1631
2,2,16,5,1643
2,1,16,6,1600
2,0,16,7,1617
2,3,17,0,1587
2,2,17,1,1620
2,1,17,2,1618
2,0,17,3,1636
2,0,17,4,1556
2,1,17,5,1651
2,2,17,6,1614
2,3,17,7,1588
2,0,18,0,1617
2,1,18,1,1619
2,2,18,2,1613
2,3,18,3,1597
2,3,18,4,1584
2,2,18,5,1619
2,1,18,6,1621
2,0,18,7,1617
2,3,19,0,1582
2,2,19,1,1607
2,1,19,2,1597
2,0,19,3,1594
2,0,19,4,1575
2,1,19,5,1599
2,2,19,6,1634
2,3,19,7,1612
2,0,20,0,1592
2,1,20,1,1631
2,2,20,2,1628
2,3,20,3,1609
2,3,20,4,1594
2,2,20,5,1629
2,1,20,6,1621
2,0,20,7,1619
2,3,21,0,1601
2,2,21,1,1641
2,1,21,2,1630
2,0,21,3,1600
2,0,21,4,1579
2,1,21,5,1638
2,2,21,6,1597
2,3,21,7,1609
2,0,22,0,1576
2,1,22,1,1642
2,2,22,2,1597
2,3,22,3,1621
2,3,22,4,1600
2,2,22,5,1622
2,1,22,6,1606
2,0,22,7,1614
2,3,23,0,1580
2,2,23,1,1618
2,1,23,2,1649
2,0,23,3,1595
2,0,23,4,1617
2,1,23,5,1617
2,2,23,6,1615
2,3,23,7,1607
2,0,24,0,1607
2,1,24,1,1643
2,2,24,2,1605
2,3,24,3,1568
2,3,24,4,1614
2,2,24,5,1614
2,1,24,6,1593
2,0,24,7,1604
2,3,25,0,1584
2,2,25,1,1607
2,1,25,2,1610
2,0,25,3,1575
2,0,25,4,1559
2,1,25,5,1580
2,2,25,6,1646
2,3,25,7,1611
2,0,26,0,1593
2,1,26,1,1601
2,2,26,2,1629
2,3,26,3,1576
2,3,26,4,1586
2,2,26,5,1611
2,1,26,6,1566
2,0,26,7,1653
2,3,27,0,1574
2,2,27,1,1620
2,1,27,2,1609
2,0,27,3,1601
2,0,27,4,1570
2,1,27,5,1633
2,2,27,6,1631
2,3,27,7,1588
2,0,28,0,1575
2,1,28,1,1634
2,2,28,2,1639
2,3,28,3,1596
2,3,28,4,1583
2,2,28,5,1618
2,1,28,6,1605
2,0,28,7,1603
2,3,29,0,1615
2,2,29,1,1643
2,1,29,2,1596
2,0,29,3,1597
2,0,29,4,1600
2,1,29,5,1653
2,2,29,6,1616
2,3,29,7,1589
2,0,30,0,1605
2,1,30,1,1609
2,2,30,2,1603
2,3,30,3,1596
2,3,30,4,1605
2,2,30,5,1625
2,1,30,6,1607
2,0,30,7,1586
2,3,31,0,1606
2,2,31,1,1612
2,1,31,2,1605
2,0,31,3,1595
2,0,31,4,1628
2,1,31,5,1600
2,2,31,6,1624
2,3,31,7,1603
3,0,0,0,1325
3,1,0,1,1212
3,2,0,2,1105
3,3,0,3,1166
3,3,0,4,1168
3,2,0,5,1132
3,1,0,6,1090
3,0,0,7,1186
3,3,1,0,1150
3,2,1,1,1113
3,1,1,2,1106
3,0,1,3,1151
3,0,1,4,1162
3,1,1,5,1120
3,2,1,6,1123
3,3,1,7,1135
3,0,2,0,1146
3,1,2,1,1127
3,2,2,2,1123
3,3,2,3,1148
3,3,2,4,1152
3,2,2,5,1098
3,1,2,6,1103
3,0,2,7,1145
3,3,3,0,1155
3,2,3,1,1114
3,1,3,2,1115
3,0,3,3,1158
3,0,3,4,1163
3,1,3,5,1142
3,2,3,6,1095
3,3,3,7,1159
3,0,4,0,1154
3,1,4,1,1080
3,2,4,2,1125
3,3,4,3,1158
3,3,4,4,1135
3,2,4,5,1107
3,1,4,6,1116
3,0,4,7,1180
3,3,5,0,1154
3,2,5,1,1114
3,1,5,2,1115
3,0,5,3,1150
3,0,5,4,1166
3,1,5,5,1117
3,2,5,6,1104
3,3,5,7,1157
3,0,6,0,1162
3,1,6,1,1105
3,2,6,2,1102
3,3,6,3,1150
3,3,6,4,1159
3,2,6,5,1105
3,1,6,6,1126
